genes	cluster
CEG46614	CEG46614	12
CEG42690	CEG42690	12
CEG39404	CEG39404	12
CEG45732	CEG45732	12
CEG36591	CEG36591	12
CEG39000	CEG39000	12
CEG43060	CEG43060	12
CEG49921	CEG49921	12
CEG35728	CEG35728	12
CEG39579	CEG39579	12
CEG42109	CEG42109	12
CEG41787	CEG41787	12
CEG46875	CEG46875	12
CEG36211	CEG36211	12
CEG47100	CEG47100	12
CEG50470	CEG50470	12
CEG42701	CEG42701	12
CEG37407	CEG37407	13
CEG37555	CEG37555	13
CEG39011	CEG39011	13
CEG40531	CEG40531	13
CEG44863	CEG44863	13
CEG47149	CEG47149	13
CEG41552	CEG41552	13
CEG43473	CEG43473	13
CEG37367	CEG37367	13
CEG44585	CEG44585	13
CEG40367	CEG40367	13
CEG49813	CEG49813	13
CEG38662	CEG38662	13
CEG41205	CEG41205	13
CEG45103	CEG45103	13
CEG43535	CEG43535	13
CEG48659	CEG48659	13
CEG37596	CEG37596	13
CEG35806	CEG35806	13
CEG42046	CEG42046	13
CEG35778	CEG35778	13
CEG50352	CEG50352	13
CEG40520	CEG40520	13
CEG35329	CEG35329	13
CEG44508	CEG44508	13
CEG44143	CEG44143	13
CEG41017	CEG41017	13
CEG47037	CEG47037	13
CEG41720	CEG41720	13
CEG43840	CEG43840	13
CEG45233	CEG45233	13
CEG39191	CEG39191	13
CEG49442	CEG49442	13
CEG40046	CEG40046	13
CEG49688	CEG49688	13
CEG39291	CEG39291	13
CEG50073	CEG50073	13
CEG42798	CEG42798	13
CEG46239	CEG46239	13
CEG44315	CEG44315	13
CEG39684	CEG39684	13
CEG44005	CEG44005	13
CEG39477	CEG39477	13
CEG50388	CEG50388	13
CEG47050	CEG47050	13
CEG41238	CEG41238	13
CEG41006	CEG41006	13
CEG43909	CEG43909	13
CEG46812	CEG46812	13
CEG40229	CEG40229	13
CEG43951	CEG43951	13
CEG48806	CEG48806	13
CEG35604	CEG35604	13
CEG36099	CEG36099	13
CEG50507	CEG50507	13
CEG41053	CEG41053	13
CEG37207	CEG37207	13
CEG44658	CEG44658	13
CEG35167	CEG35167	13
CEG45627	CEG45627	13
CEG37951	CEG37951	13
CEG46864	CEG46864	13
CEG48368	CEG48368	13
CEG47211	CEG47211	13
CEG39065	CEG39065	13
CEG38429	CEG38429	13
CEG35902	CEG35902	13
CEG45424	CEG45424	13
CEG41867	CEG41867	13
CEG40512	CEG40512	13
CEG45679	CEG45679	13
CEG50508	CEG50508	13
CEG41156	CEG41156	13
CEG39674	CEG39674	13
CEG35698	CEG35698	13
CEG47015	CEG47015	13
CEG42492	CEG42492	13
CEG35354	CEG35354	13
CEG49873	CEG49873	13
CEG39367	CEG39367	13
CEG49938	CEG49938	13
CEG39890	CEG39890	13
CEG49087	CEG49087	13
CEG42218	CEG42218	13
CEG40141	CEG40141	13
CEG47541	CEG47541	13
CEG35315	CEG35315	13
CEG39251	CEG39251	13
CEG47963	CEG47963	13
CEG37204	CEG37204	13
CEG36075	CEG36075	13
CEG36884	CEG36884	13
CEG35852	CEG35852	13
CEG39395	CEG39395	13
CEG48934	CEG48934	13
CEG39622	CEG39622	13
CEG44385	CEG44385	13
CEG37874	CEG37874	13
CEG42332	CEG42332	13
CEG42844	CEG42844	13
CEG35254	CEG35254	13
CEG42168	CEG42168	13
CEG41190	CEG41190	13
CEG48838	CEG48838	13
CEG47585	CEG47585	13
CEG35388	CEG35388	13
CEG40464	CEG40464	13
CEG47702	CEG47702	13
CEG37397	CEG37397	13
CEG38451	CEG38451	13
CEG40718	CEG40718	13
CEG37420	CEG37420	13
CEG49474	CEG49474	13
CEG36836	CEG36836	13
CEG45453	CEG45453	13
CEG39717	CEG39717	13
CEG39660	CEG39660	13
CEG48513	CEG48513	13
CEG36748	CEG36748	13
CEG48630	CEG48630	13
CEG36738	CEG36738	13
CEG42164	CEG42164	13
CEG38092	CEG38092	13
CEG39260	CEG39260	13
CEG49071	CEG49071	13
CEG49524	CEG49524	13
CEG38277	CEG38277	13
CEG42562	CEG42562	13
CEG50514	CEG50514	13
CEG47594	CEG47594	13
CEG41497	CEG41497	13
CEG39555	CEG39555	13
CEG49342	CEG49342	13
CEG39839	CEG39839	13
CEG42231	CEG42231	13
CEG36146	CEG36146	13
CEG41929	CEG41929	13
CEG39465	CEG39465	13
CEG50177	CEG50177	13
CEG42115	CEG42115	13
CEG41976	CEG41976	13
CEG36476	CEG36476	13
CEG40686	CEG40686	13
CEG35526	CEG35526	13
CEG35654	CEG35654	13
CEG44076	CEG44076	13
CEG42247	CEG42247	13
CEG47049	CEG47049	13
CEG37255	CEG37255	13
CEG40263	CEG40263	13
CEG39624	CEG39624	13
CEG45683	CEG45683	13
CEG36209	CEG36209	13
CEG37091	CEG37091	13
CEG39440	CEG39440	13
CEG41369	CEG41369	13
CEG38326	CEG38326	13
CEG38079	CEG38079	13
CEG41697	CEG41697	13
CEG43611	CEG43611	13
CEG39625	CEG39625	13
CEG35558	CEG35558	13
CEG39792	CEG39792	13
CEG45391	CEG45391	13
CEG42481	CEG42481	13
CEG43044	CEG43044	13
CEG41924	CEG41924	13
CEG44603	CEG44603	13
CEG45955	CEG45955	13
CEG38190	CEG38190	13
CEG37899	CEG37899	13
CEG40374	CEG40374	13
CEG40256	CEG40256	13
CEG50084	CEG50084	13
CEG41212	CEG41212	13
CEG37669	CEG37669	13
CEG39115	CEG39115	13
CEG49345	CEG49345	13
CEG36978	CEG36978	13
CEG38563	CEG38563	13
CEG48111	CEG48111	13
CEG39611	CEG39611	13
CEG48296	CEG48296	13
CEG35915	CEG35915	13
CEG37598	CEG37598	13
CEG37829	CEG37829	13
CEG38156	CEG38156	13
CEG35091	CEG35091	13
CEG43746	CEG43746	13
CEG46881	CEG46881	13
CEG36535	CEG36535	13
CEG39855	CEG39855	13
CEG41560	CEG41560	13
CEG37668	CEG37668	13
CEG36903	CEG36903	13
CEG37067	CEG37067	13
CEG40505	CEG40505	13
CEG46058	CEG46058	13
CEG50184	CEG50184	13
CEG46255	CEG46255	13
CEG47768	CEG47768	13
CEG43728	CEG43728	13
CEG41355	CEG41355	13
CEG48105	CEG48105	13
CEG37822	CEG37822	13
CEG40953	CEG40953	13
CEG37557	CEG37557	13
CEG43966	CEG43966	13
CEG42162	CEG42162	13
CEG43245	CEG43245	13
CEG40045	CEG40045	13
CEG40936	CEG40936	13
CEG41036	CEG41036	13
CEG39621	CEG39621	13
CEG41766	CEG41766	13
CEG46781	CEG46781	13
CEG42643	CEG42643	13
CEG41840	CEG41840	13
CEG48240	CEG48240	13
CEG50468	CEG50468	13
CEG40473	CEG40473	13
CEG43163	CEG43163	13
CEG42827	CEG42827	13
CEG41571	CEG41571	13
CEG43333	CEG43333	13
CEG43177	CEG43177	13
CEG37567	CEG37567	13
CEG36910	CEG36910	13
CEG39722	CEG39722	13
CEG37479	CEG37479	13
CEG40018	CEG40018	13
CEG45831	CEG45831	13
CEG49812	CEG49812	13
CEG43804	CEG43804	13
CEG35949	CEG35949	13
CEG37781	CEG37781	13
CEG44432	CEG44432	13
CEG48207	CEG48207	13
CEG48295	CEG48295	13
CEG46753	CEG46753	13
CEG37021	CEG37021	13
CEG47311	CEG47311	13
CEG47861	CEG47861	13
CEG49837	CEG49837	13
CEG47298	CEG47298	13
CEG42016	CEG42016	13
CEG46770	CEG46770	13
CEG49676	CEG49676	13
CEG44419	CEG44419	13
CEG42691	CEG42691	13
CEG37866	CEG37866	13
CEG37686	CEG37686	13
CEG43294	CEG43294	13
CEG46811	CEG46811	13
CEG45104	CEG45104	13
CEG48056	CEG48056	13
CEG45678	CEG45678	13
CEG42958	CEG42958	13
CEG46426	CEG46426	13
CEG48668	CEG48668	13
CEG42653	CEG42653	13
CEG46329	CEG46329	13
CEG50179	CEG50179	13
CEG42485	CEG42485	13
CEG37717	CEG37717	13
CEG37939	CEG37939	13
CEG36923	CEG36923	13
CEG36973	CEG36973	13
CEG39732	CEG39732	13
CEG42810	CEG42810	13
CEG50186	CEG50186	13
CEG35952	CEG35952	13
CEG39862	CEG39862	13
CEG43432	CEG43432	13
CEG50393	CEG50393	13
CEG47119	CEG47119	13
CEG46992	CEG46992	13
CEG42871	CEG42871	13
CEG46629	CEG46629	13
CEG41714	CEG41714	13
CEG41988	CEG41988	13
CEG39795	CEG39795	13
CEG49451	CEG49451	13
CEG43395	CEG43395	13
CEG36057	CEG36057	13
CEG47631	CEG47631	13
CEG48057	CEG48057	13
CEG49349	CEG49349	13
CEG49329	CEG49329	13
CEG37354	CEG37354	13
CEG35739	CEG35739	13
CEG44146	CEG44146	13
CEG41503	CEG41503	13
CEG40190	CEG40190	13
CEG38397	CEG38397	13
CEG45120	CEG45120	13
CEG42456	CEG42456	13
CEG39648	CEG39648	13
CEG49388	CEG49388	13
CEG46484	CEG46484	13
CEG37504	CEG37504	13
CEG39606	CEG39606	13
CEG39751	CEG39751	13
CEG45102	CEG45102	13
CEG42799	CEG42799	13
CEG37529	CEG37529	13
CEG46837	CEG46837	13
CEG43735	CEG43735	13
CEG41644	CEG41644	13
CEG46271	CEG46271	13
CEG48805	CEG48805	13
CEG42316	CEG42316	13
CEG41261	CEG41261	13
CEG47701	CEG47701	13
CEG46600	CEG46600	13
CEG40022	CEG40022	13
CEG50414	CEG50414	13
CEG38338	CEG38338	13
CEG41508	CEG41508	13
CEG45441	CEG45441	13
CEG38282	CEG38282	13
CEG50263	CEG50263	13
CEG49262	CEG49262	13
CEG37441	CEG37441	13
CEG47280	CEG47280	13
CEG36051	CEG36051	13
CEG35563	CEG35563	13
CEG35314	CEG35314	13
CEG39173	CEG39173	13
CEG43039	CEG43039	13
CEG36718	CEG36718	13
CEG38040	CEG38040	13
CEG45317	CEG45317	13
CEG49797	CEG49797	13
CEG45708	CEG45708	13
CEG35927	CEG35927	13
CEG39469	CEG39469	13
CEG49242	CEG49242	13
CEG37393	CEG37393	13
CEG46272	CEG46272	13
CEG49539	CEG49539	13
CEG40225	CEG40225	13
CEG43495	CEG43495	13
CEG40011	CEG40011	13
CEG45638	CEG45638	13
CEG40954	CEG40954	13
CEG47133	CEG47133	13
CEG43753	CEG43753	13
CEG43764	CEG43764	13
CEG44682	CEG44682	13
CEG42748	CEG42748	13
CEG44829	CEG44829	13
CEG43914	CEG43914	13
CEG41068	CEG41068	13
CEG50224	CEG50224	13
CEG36588	CEG36588	13
CEG40130	CEG40130	13
CEG41683	CEG41683	13
CEG39174	CEG39174	13
CEG42537	CEG42537	13
CEG42624	CEG42624	13
CEG48286	CEG48286	13
CEG35451	CEG35451	13
CEG47185	CEG47185	13
CEG42604	CEG42604	13
CEG44791	CEG44791	13
CEG49904	CEG49904	13
CEG40720	CEG40720	13
CEG35891	CEG35891	13
CEG43793	CEG43793	13
CEG37096	CEG37096	13
CEG42790	CEG42790	13
CEG35198	CEG35198	13
CEG44890	CEG44890	13
CEG47860	CEG47860	13
CEG37524	CEG37524	13
CEG44034	CEG44034	13
CEG49678	CEG49678	13
CEG37264	CEG37264	13
CEG36784	CEG36784	13
CEG43170	CEG43170	13
CEG44544	CEG44544	13
CEG49016	CEG49016	13
CEG36232	CEG36232	13
CEG36484	CEG36484	13
CEG36081	CEG36081	13
CEG43122	CEG43122	13
ENSRNAG00050152916	ENSRNAG00050152916	13
CEG38069	CEG38069	13
CEG37613	CEG37613	14
CEG42190	CEG42190	14
CEG42704	CEG42704	14
CEG43133	CEG43133	14
CEG43870	CEG43870	14
CEG44325	CEG44325	14
CEG46486	CEG46486	14
CEG43458	CEG43458	14
CEG49740	CEG49740	14
CEG39650	CEG39650	14
CEG36009	CEG36009	14
CEG35120	CEG35120	14
CEG41008	CEG41008	14
CEG39600	CEG39600	14
CEG49643	CEG49643	14
CEG39597	CEG39597	14
CEG49250	CEG49250	14
CEG36024	CEG36024	14
CEG38920	CEG38920	14
CEG47762	CEG47762	14
CEG44743	CEG44743	14
CEG44555	CEG44555	14
CEG42668	CEG42668	14
CEG42762	CEG42762	14
CEG38408	CEG38408	14
CEG45839	CEG45839	14
CEG48720	CEG48720	14
CEG35837	CEG35837	14
CEG45722	CEG45722	14
CEG45744	CEG45744	14
CEG45406	CEG45406	14
CEG36467	CEG36467	14
CEG37581	CEG37581	14
CEG43077	CEG43077	14
CEG39086	CEG39086	14
CEG50063	CEG50063	14
CEG42057	CEG42057	14
CEG42616	CEG42616	14
CEG38368	CEG38368	14
CEG45197	CEG45197	14
CEG41125	CEG41125	14
CEG35520	CEG35520	14
CEG42378	CEG42378	14
CEG50054	CEG50054	14
CEG43079	CEG43079	14
CEG45059	CEG45059	14
CEG37628	CEG37628	14
CEG44166	CEG44166	14
CEG36280	CEG36280	14
CEG39196	CEG39196	14
CEG50171	CEG50171	14
CEG42703	CEG42703	14
CEG49126	CEG49126	14
CEG44167	CEG44167	14
CEG41859	CEG41859	14
CEG37662	CEG37662	14
CEG50500	CEG50500	14
CEG38899	CEG38899	14
CEG45622	CEG45622	14
CEG50072	CEG50072	14
CEG43445	CEG43445	14
CEG41159	CEG41159	14
CEG36013	CEG36013	14
CEG44110	CEG44110	14
CEG46894	CEG46894	14
CEG35152	CEG35152	14
CEG41517	CEG41517	14
CEG50222	CEG50222	14
CEG40419	CEG40419	14
CEG36868	CEG36868	14
CEG43103	CEG43103	14
CEG41691	CEG41691	14
CEG39241	CEG39241	14
CEG47021	CEG47021	14
CEG38366	CEG38366	14
CEG35986	CEG35986	14
CEG49970	CEG49970	14
CEG38050	CEG38050	14
CEG42992	CEG42992	14
CEG42100	CEG42100	14
ENSRNAG00050153270	ENSRNAG00050153270	14
CEG38808	CEG38808	14
CEG38889	CEG38889	14
CEG42311	CEG42311	14
CEG41518	CEG41518	14
CEG43638	CEG43638	14
CEG39257	CEG39257	14
CEG50501	CEG50501	14
CEG37643	CEG37643	14
CEG37748	CEG37748	14
ENSRNAG00050152976	ENSRNAG00050152976	14
CEG42368	CEG42368	14
CEG47600	CEG47600	14
CEG49268	CEG49268	14
CEG48414	CEG48414	14
CEG44270	CEG44270	14
CEG46556	CEG46556	14
CEG49267	CEG49267	14
CEG49531	CEG49531	14
CEG46376	CEG46376	14
CEG40745	CEG40745	14
CEG47589	CEG47589	14
CEG45225	CEG45225	14
CEG43662	CEG43662	14
CEG45899	CEG45899	14
CEG40420	CEG40420	14
CEG36107	CEG36107	14
CEG49100	CEG49100	14
CEG42615	CEG42615	14
CEG45753	CEG45753	14
CEG35897	CEG35897	14
CEG39084	CEG39084	14
CEG36139	CEG36139	14
CEG46922	CEG46922	14
CEG42169	CEG42169	14
CEG49551	CEG49551	14
CEG45628	CEG45628	14
CEG41582	CEG41582	14
CEG50382	CEG50382	14
CEG48104	CEG48104	14
CEG49734	CEG49734	14
CEG39635	CEG39635	14
CEG48661	CEG48661	14
CEG47276	CEG47276	14
CEG43130	CEG43130	14
CEG50047	CEG50047	14
CEG38145	CEG38145	14
CEG39244	CEG39244	14
CEG49487	CEG49487	14
CEG37434	CEG37434	14
CEG46657	CEG46657	14
CEG36713	CEG36713	14
CEG49420	CEG49420	14
CEG36596	CEG36596	14
CEG45993	CEG45993	14
CEG42381	CEG42381	14
CEG46823	CEG46823	14
CEG37612	CEG37612	14
CEG40774	CEG40774	14
CEG43503	CEG43503	14
CEG37813	CEG37813	14
CEG36667	CEG36667	14
CEG40653	CEG40653	14
CEG38686	CEG38686	14
CEG35820	CEG35820	14
CEG41472	CEG41472	14
CEG35303	CEG35303	14
CEG41073	CEG41073	14
CEG43341	CEG43341	14
CEG41569	CEG41569	14
CEG38098	CEG38098	14
CEG39211	CEG39211	14
CEG42964	CEG42964	14
CEG49532	CEG49532	14
CEG42122	CEG42122	14
CEG36268	CEG36268	14
CEG37197	CEG37197	14
CEG45366	CEG45366	14
ENSRNAG00050153024	ENSRNAG00050153024	14
CEG50152	CEG50152	14
CEG43842	CEG43842	14
CEG35306	CEG35306	14
CEG35372	CEG35372	14
CEG43350	CEG43350	14
CEG41706	CEG41706	14
CEG42219	CEG42219	14
CEG41975	CEG41975	14
CEG45702	CEG45702	14
CEG47873	CEG47873	14
CEG42963	CEG42963	14
CEG48635	CEG48635	14
CEG38094	CEG38094	14
CEG39129	CEG39129	14
CEG35464	CEG35464	14
CEG48846	CEG48846	14
CEG38281	CEG38281	14
CEG46421	CEG46421	14
CEG48982	CEG48982	14
CEG35151	CEG35151	14
CEG35069	CEG35069	14
CEG38727	CEG38727	14
CEG45101	CEG45101	14
CEG46774	CEG46774	14
CEG47155	CEG47155	14
CEG40958	CEG40958	14
CEG41616	CEG41616	14
CEG43369	CEG43369	14
CEG36372	CEG36372	14
CEG35926	CEG35926	14
CEG37473	CEG37473	14
CEG38613	CEG38613	14
CEG44161	CEG44161	14
CEG38435	CEG38435	14
CEG41640	CEG41640	14
CEG43563	CEG43563	14
CEG37335	CEG37335	14
CEG40502	CEG40502	14
CEG39775	CEG39775	14
CEG45281	CEG45281	14
CEG46078	CEG46078	14
CEG49281	CEG49281	14
CEG50276	CEG50276	14
CEG39886	CEG39886	14
CEG39204	CEG39204	14
CEG45802	CEG45802	14
CEG39965	CEG39965	14
CEG43879	CEG43879	14
CEG46348	CEG46348	14
CEG45216	CEG45216	14
CEG46087	CEG46087	14
CEG38625	CEG38625	14
CEG49839	CEG49839	14
CEG36728	CEG36728	14
CEG47557	CEG47557	14
CEG48232	CEG48232	14
CEG35150	CEG35150	14
CEG35100	CEG35100	14
CEG47734	CEG47734	14
CEG41199	CEG41199	14
CEG39715	CEG39715	14
CEG37770	CEG37770	15
CEG44097	CEG44097	15
CEG50119	CEG50119	15
CEG39563	CEG39563	15
CEG46321	CEG46321	15
CEG47637	CEG47637	15
CEG45000	CEG45000	15
CEG49364	CEG49364	15
CEG48306	CEG48306	15
CEG37768	CEG37768	15
CEG39414	CEG39414	15
CEG47399	CEG47399	15
CEG35790	CEG35790	15
CEG35484	CEG35484	15
CEG43906	CEG43906	15
CEG43549	CEG43549	15
CEG42856	CEG42856	15
CEG44126	CEG44126	15
CEG49337	CEG49337	15
CEG44343	CEG44343	15
CEG50076	CEG50076	15
CEG38589	CEG38589	15
CEG41531	CEG41531	15
CEG46799	CEG46799	15
CEG44434	CEG44434	15
CEG36284	CEG36284	15
CEG41093	CEG41093	15
CEG44818	CEG44818	15
CEG37758	CEG37758	15
CEG41854	CEG41854	15
CEG45127	CEG45127	15
CEG48219	CEG48219	15
CEG44828	CEG44828	15
CEG41504	CEG41504	15
CEG40729	CEG40729	15
CEG36220	CEG36220	15
CEG37044	CEG37044	15
CEG39420	CEG39420	15
CEG43676	CEG43676	15
CEG48647	CEG48647	15
CEG35701	CEG35701	15
CEG37161	CEG37161	15
CEG36906	CEG36906	15
CEG47247	CEG47247	15
CEG48606	CEG48606	15
CEG40769	CEG40769	15
CEG35352	CEG35352	15
CEG36856	CEG36856	15
CEG42944	CEG42944	15
CEG44378	CEG44378	15
CEG37485	CEG37485	15
CEG35383	CEG35383	15
CEG49541	CEG49541	15
CEG40737	CEG40737	15
CEG45288	CEG45288	15
CEG42240	CEG42240	15
CEG38636	CEG38636	15
CEG35075	CEG35075	15
CEG45082	CEG45082	15
CEG49783	CEG49783	15
CEG46884	CEG46884	15
CEG37993	CEG37993	15
CEG35738	CEG35738	15
CEG44273	CEG44273	15
CEG44711	CEG44711	15
CEG38763	CEG38763	15
CEG44713	CEG44713	15
CEG40685	CEG40685	15
CEG38778	CEG38778	15
CEG50008	CEG50008	15
CEG37285	CEG37285	15
CEG44056	CEG44056	15
CEG48613	CEG48613	15
CEG36410	CEG36410	15
CEG43394	CEG43394	15
CEG49227	CEG49227	15
CEG41864	CEG41864	15
CEG39438	CEG39438	15
CEG46333	CEG46333	15
CEG47889	CEG47889	15
CEG40486	CEG40486	15
CEG45413	CEG45413	15
CEG46492	CEG46492	15
CEG50145	CEG50145	15
CEG49223	CEG49223	15
CEG47077	CEG47077	15
CEG43769	CEG43769	15
CEG48239	CEG48239	15
CEG40063	CEG40063	15
CEG37967	CEG37967	15
CEG39797	CEG39797	15
CEG48624	CEG48624	15
CEG40080	CEG40080	15
CEG48052	CEG48052	15
CEG49463	CEG49463	15
CEG39507	CEG39507	15
CEG48783	CEG48783	15
CEG42637	CEG42637	15
CEG41018	CEG41018	15
CEG42119	CEG42119	15
CEG40550	CEG40550	15
CEG44991	CEG44991	15
CEG49167	CEG49167	15
CEG40728	CEG40728	15
CEG44505	CEG44505	15
ENSRNAG00050153324	ENSRNAG00050153324	15
CEG40039	CEG40039	15
CEG48050	CEG48050	15
CEG43302	CEG43302	15
CEG46099	CEG46099	15
CEG50369	CEG50369	15
CEG36905	CEG36905	15
CEG39743	CEG39743	15
CEG48249	CEG48249	15
CEG43146	CEG43146	15
CEG48331	CEG48331	15
CEG47959	CEG47959	15
CEG42049	CEG42049	15
CEG45153	CEG45153	15
CEG38886	CEG38886	15
CEG39408	CEG39408	15
CEG44826	CEG44826	15
CEG42960	CEG42960	15
CEG47845	CEG47845	15
CEG49464	CEG49464	15
CEG37109	CEG37109	15
CEG35901	CEG35901	15
CEG45274	CEG45274	15
CEG47107	CEG47107	15
CEG44079	CEG44079	15
CEG36174	CEG36174	15
CEG36260	CEG36260	15
CEG49431	CEG49431	15
CEG41447	CEG41447	15
CEG43607	CEG43607	15
CEG46557	CEG46557	15
CEG40270	CEG40270	15
CEG45428	CEG45428	15
CEG46487	CEG46487	15
CEG40082	CEG40082	15
CEG49693	CEG49693	15
CEG49757	CEG49757	15
CEG45757	CEG45757	15
CEG38165	CEG38165	15
CEG48125	CEG48125	15
CEG50477	CEG50477	15
CEG42803	CEG42803	15
CEG45029	CEG45029	15
CEG41301	CEG41301	15
CEG45827	CEG45827	15
CEG37832	CEG37832	16
CEG49890	CEG49890	16
CEG42975	CEG42975	16
CEG46598	CEG46598	16
CEG48365	CEG48365	16
CEG39126	CEG39126	16
CEG45311	CEG45311	16
CEG49784	CEG49784	16
CEG41676	CEG41676	16
CEG43437	CEG43437	16
CEG35638	CEG35638	16
CEG36496	CEG36496	16
CEG40228	CEG40228	16
CEG41575	CEG41575	16
CEG40318	CEG40318	16
CEG50226	CEG50226	16
CEG35391	CEG35391	16
CEG50264	CEG50264	16
CEG37629	CEG37629	16
CEG40849	CEG40849	16
CEG49962	CEG49962	16
CEG46658	CEG46658	16
CEG43176	CEG43176	16
CEG45331	CEG45331	16
CEG46278	CEG46278	16
CEG46466	CEG46466	16
CEG40341	CEG40341	16
CEG36673	CEG36673	16
CEG38942	CEG38942	16
CEG49877	CEG49877	16
CEG37381	CEG37381	16
CEG35972	CEG35972	16
CEG39626	CEG39626	16
CEG49161	CEG49161	16
CEG40050	CEG40050	16
CEG43134	CEG43134	16
CEG39304	CEG39304	16
CEG42267	CEG42267	16
CEG49465	CEG49465	16
CEG50154	CEG50154	16
CEG42384	CEG42384	16
CEG50027	CEG50027	16
CEG39656	CEG39656	16
CEG37515	CEG37515	16
CEG50296	CEG50296	16
CEG44058	CEG44058	16
CEG38572	CEG38572	16
CEG42932	CEG42932	16
CEG38428	CEG38428	16
CEG44073	CEG44073	16
CEG40456	CEG40456	16
CEG40093	CEG40093	16
CEG49008	CEG49008	16
CEG48494	CEG48494	16
CEG41747	CEG41747	16
CEG38378	CEG38378	16
CEG49707	CEG49707	16
CEG45263	CEG45263	16
CEG47895	CEG47895	16
CEG41717	CEG41717	16
CEG45194	CEG45194	16
CEG46606	CEG46606	16
CEG39686	CEG39686	16
CEG43946	CEG43946	16
CEG38488	CEG38488	16
CEG50334	CEG50334	16
CEG37935	CEG37935	16
CEG50486	CEG50486	16
CEG47320	CEG47320	16
CEG49803	CEG49803	16
ENSRNAG00050153170	ENSRNAG00050153170	16
CEG45745	CEG45745	16
CEG37708	CEG37708	16
CEG48245	CEG48245	16
CEG50206	CEG50206	16
CEG35177	CEG35177	16
CEG40065	CEG40065	16
CEG45078	CEG45078	16
CEG36477	CEG36477	16
CEG44563	CEG44563	16
CEG38155	CEG38155	16
CEG43681	CEG43681	16
CEG44020	CEG44020	16
CEG37777	CEG37777	16
CEG40455	CEG40455	16
CEG35083	CEG35083	16
CEG48818	CEG48818	16
CEG38175	CEG38175	16
CEG41949	CEG41949	16
CEG35409	CEG35409	16
CEG42586	CEG42586	16
ENSRNAG00050152948	ENSRNAG00050152948	16
CEG38302	CEG38302	17
CEG44928	CEG44928	17
CEG46611	CEG46611	17
CEG44304	CEG44304	17
CEG45126	CEG45126	17
CEG50340	CEG50340	17
CEG48379	CEG48379	17
CEG42591	CEG42591	17
CEG37809	CEG37809	17
CEG45360	CEG45360	17
CEG44775	CEG44775	17
CEG46195	CEG46195	17
CEG44745	CEG44745	17
CEG47394	CEG47394	17
CEG39918	CEG39918	17
CEG47393	CEG47393	17
CEG42532	CEG42532	17
CEG45782	CEG45782	17
CEG42778	CEG42778	17
CEG43808	CEG43808	17
CEG45179	CEG45179	17
CEG44515	CEG44515	17
CEG47839	CEG47839	17
CEG36689	CEG36689	17
CEG40990	CEG40990	17
CEG39458	CEG39458	17
CEG38487	CEG38487	18
CEG39841	CEG39841	18
CEG41350	CEG41350	18
CEG41384	CEG41384	18
CEG41829	CEG41829	18
CEG42079	CEG42079	18
CEG42151	CEG42151	18
CEG47023	CEG47023	18
CEG47281	CEG47281	18
CEG48570	CEG48570	18
CEG48665	CEG48665	18
CEG43043	CEG43043	18
CEG38495	CEG38495	18
CEG45192	CEG45192	18
CEG38308	CEG38308	18
CEG39387	CEG39387	18
CEG37615	CEG37615	18
CEG43317	CEG43317	18
CEG49623	CEG49623	18
CEG39793	CEG39793	18
CEG45124	CEG45124	18
CEG37620	CEG37620	18
CEG36727	CEG36727	18
CEG35686	CEG35686	18
CEG40418	CEG40418	18
CEG39392	CEG39392	18
CEG44313	CEG44313	18
CEG45754	CEG45754	18
CEG35323	CEG35323	18
CEG40902	CEG40902	18
CEG41757	CEG41757	18
CEG40590	CEG40590	18
CEG40908	CEG40908	18
CEG38432	CEG38432	18
CEG35888	CEG35888	18
CEG45191	CEG45191	18
CEG42858	CEG42858	18
CEG35142	CEG35142	18
CEG43241	CEG43241	18
CEG39037	CEG39037	18
CEG39391	CEG39391	18
CEG42131	CEG42131	18
CEG39450	CEG39450	18
CEG49617	CEG49617	18
CEG43601	CEG43601	18
CEG45414	CEG45414	18
CEG36650	CEG36650	18
CEG37707	CEG37707	18
CEG44615	CEG44615	18
CEG35827	CEG35827	18
CEG42822	CEG42822	18
CEG41951	CEG41951	18
CEG47160	CEG47160	18
CEG35983	CEG35983	18
CEG41468	CEG41468	18
CEG39330	CEG39330	18
CEG35547	CEG35547	18
CEG35872	CEG35872	18
CEG43030	CEG43030	18
CEG37318	CEG37318	18
CEG38436	CEG38436	18
CEG42794	CEG42794	18
CEG39835	CEG39835	18
CEG50466	CEG50466	18
CEG37258	CEG37258	18
CEG46903	CEG46903	18
CEG48737	CEG48737	18
CEG42531	CEG42531	18
CEG48304	CEG48304	18
CEG42819	CEG42819	18
CEG37836	CEG37836	18
CEG35663	CEG35663	18
CEG36511	CEG36511	18
CEG42127	CEG42127	18
CEG38220	CEG38220	18
CEG37755	CEG37755	18
CEG41076	CEG41076	18
CEG36286	CEG36286	18
CEG47769	CEG47769	18
CEG45882	CEG45882	18
CEG41966	CEG41966	18
CEG46070	CEG46070	18
CEG35733	CEG35733	18
CEG48101	CEG48101	18
CEG38321	CEG38321	18
CEG46168	CEG46168	18
CEG36887	CEG36887	18
CEG42916	CEG42916	18
CEG49379	CEG49379	18
CEG36255	CEG36255	18
CEG37889	CEG37889	18
CEG38988	CEG38988	18
CEG44876	CEG44876	18
CEG50485	CEG50485	18
CEG48861	CEG48861	18
CEG47759	CEG47759	18
CEG38774	CEG38774	18
CEG37585	CEG37585	18
CEG46908	CEG46908	18
